ID,CATEGORY,Note,en-EN,it-IT,fr-FR,de-DE,es-ES,ru-RU,zh-CN,hu-HU,pt-PT,jp-JP
#MODE_NORMAL,Menu,,Difficulty: Normal,Difficoltà: Normale,Difficulté : Normal,Schwierigkeitsgrad: Normal,Dificultad: Normal,Сложность: нормальная,难度：普通,Nehézség: Normál,Dificuldade: Normal,難易度：ノーマル
#MODE_NIGHTMARE,Menu,,Difficulty: Nightmare,Difficoltà: Incubo,Difficulté : Cauchemar,Schwierigkeitsgrad: Albtraum,Dificultad: Pesadilla,Сложность: кошмар,难度：噩梦,Nehézség: Rémálom,Dificuldade: Pesadelo,難易度：ナイトメア
#MENU_LOADGAME,Menu,,LOAD GAME,CARICA PARTITA,CHARGER UNE PARTIE,SPIEL LADEN,CARGAR PARTIDA,ЗАГРУЗИТЬ,载入游戏,JÁTÉK BETÖLTÉSE,CARREGAR JOGO,LOADのGAME
#MENU_OPTIONS,Menu,,OPTIONS,OPZIONI,OPTIONS,OPTIONEN,OPCIONES,НАСТРОЙКИ,选项,BEÁLLÍTÁSOK,OPÇÕES,OPTIONS
#MENU_CREDITS,Menu,,CREDITS,RICONOSCIMENTI,CRÉDITS,MITWIRKENDE,CRÉDITOS,АВТОРЫ,制作人员,KÉSZÍTŐK,CRÉDITOS,CREDITS
#MENU_TITLE_CREATEGAME,Menu,,NEW GAME,NUOVA PARTITA,NOUVELLE PARTIE,NEUES SPIEL,NUEVA PARTIDA,НОВАЯ ИГРА,新游戏,ÚJ JÁTÉK,NOVO JOGO,新しいゲーム
#MENU_TITLE_LOADGAME,Menu,,LOAD GAME,CARICA PARTITA,CHARGER UNE PARTIE,SPIEL LADEN,CARGAR PARTIDA,ЗАГРУЗИТЬ,载入游戏,JÁTÉK BETÖLTÉSE,CARREGAR JOGO,LOADのGAME
#MENU_TITLE_OPTIONS,Menu,,OPTIONS,OPZIONI,OPTIONS,OPTIONEN,OPCIONES,НАСТРОЙКИ,选项,BEÁLLÍTÁSOK,OPÇÕES,OPTIONS
#MENU_TITLE_VIDEO,Menu,,VIDEO OPTIONS,OPZIONI VIDEO,OPTIONS VIDÉO,VIDEO-OPTIONEN,OPCIONES DE VÍDEO,НАСТРОЙКИ ВИДЕО,画面选项,VIDEÓBEÁLLÍTÁSOK,OPÇÕES DE VÍDEO,ビデオオプション
#MENU_TITLE_AUDIO,Menu,,AUDIO OPTIONS,OPZIONI AUDIO,OPTIONS AUDIO,AUDIO-OPTIONEN,OPCIONES DE AUDIO,НАСТРОЙКИ ЗВУКА,循环,HANGBEÁLLÍTÁSOK,OPÇÕES DE ÁUDIO,AUDIO OPTIONS
#BTN_QUIT,Menu,,QUIT,ESCI,QUITTER,BEENDEN,SALIR,ВЫХОД,退出,KILÉPÉS,SAIR,終了する
#BTN_QUIT_TO_DESKTOP,Menu,,QUIT TO DESKTOP,ESCI AL DESKTOP,QUITTER POUR REVENIR AU BUREAU,ZURÜCK ZUM DESKTOP,SALIR AL ESCRITORIO,ВЫЙТИ ИЗ ИГРЫ,退出至桌面,KILÉPÉS AZ ASZTALRA,,
#MENU_MSG_QUIT,Menu,,Do you want to quit the game?,Vuoi uscire dal gioco?,Voulez-vous quitter le jeu ?,Spiel beenden?,¿Quieres salir del juego?,Вы хотите выйти из игры?,确定要退出游戏吗？,Ki akarsz lépni a játékból?,Deseja sair do jogo?,あなたがゲームを終了しますか？
#MENU_OPT_VOLUME,Menu,,VOLUME,VOLUME,VOLUME,LAUTSTÄRKE,VOLUMEN,ГРОМКОСТЬ,音量,HANGERŐ,VOLUME,ボリューム
#MENU_OPT_FULLSCREEN,Menu,,FULLSCREEN,SCHERMO INTERO,PLEIN ÉCRAN,VOLLBILD,PANTALLA COMPLETA,ПОЛНЫЙ ЭКРАН,全屏,TELJES KÉPERNYŐ,TELA INTEIRA,全画面表示
#MENU_OPT_QUALITY,Menu,,QUALITY,QUALITÀ,QUALITÉ,QUALITÄT,CALIDAD,КАЧЕСТВО,质量,MINŐSÉG,QUALIDADE,品質
#MENU_OPT_RESOLUTION,Menu,,RESOLUTION,RISOLUZIONE,RÉSOLUTION,AUFLÖSUNG,RESOLUCIÓN,РАЗРЕШЕНИЕ,分辨率,FELBONTÁS,RESOLUÇÃO,解決
#QUALITY_HIGH,Menu,,HIGH,ALTA,ÉLEVÉE,HOCH,ALTA,ВЫСОКОЕ,高,MAGAS,ALTA,高い
#QUALITY_NORMAL,Menu,,NORMAL,NORMALE,NORMALE,NORMAL,NORMAL,НОРМАЛЬНОЕ,普通,NORMÁL,NORMAL,NORMAL
#QUALITY_LOW,Menu,,LOW,BASSA,BASSE,NIEDRIG,BAJA,НИЗКОЕ,低,ALACSONY,BAIXA,LOW
#MENU_VIDEO,Menu,,VIDEO,VIDEO,VIDÉO,VIDEO,VÍDEO,ВИДЕО,画面,VIDEÓ,VÍDEO,ビデオ
#MENU_AUDIO,Menu,,AUDIO,AUDIO,AUDIO,AUDIO,AUDIO,ЗВУК,声音,HANG,ÁUDIO,オーディオ
#MENU_CONTROLS,Menu,,CONTROLS,COMANDI,COMMANDES,STEUERUNG,CONTROLES,УПРАВЛЕНИЕ,控制,IRÁNYÍTÁS,CONTROLES,CONTROLS
#MENU_SLOTNEW,Menu,,NEW GAME,NUOVA PARTITA,NOUVELLE PARTIE,NEUES SPIEL,NUEVA PARTIDA,НОВАЯ ИГРА,新游戏,ÚJ JÁTÉK,NOVO JOGO,新しいゲーム
#HELP_LOADSLOT,Menu,,Select the slot to load,Seleziona lo slot da caricare,Choisir la sauvegarde à charger,Speicherplatz zum Laden auswählen,Selecciona qué ranura quieres cargar.,Выберите ячейку для загрузки,选择栏位载入,Válaszd ki a betöltendő foglalatot!,Escolha um arquivo para carregar,ロードするためにスロットを選択
#BTN_YES,Menu,,Yes,Sì,Oui,Ja,Sí,Да,是,Igen,Sim,はい
#BTN_NO,Menu,,No,No,Non,Nein,No,Нет,否,Nem,Não,ノー
#WARNING_SLOT_OVERWRITE,Menu,,Do you want to overwrite the selected slot data ? All the progression will be lost,Vuoi sovrascrivere il salvataggio selezionato? Tutti i dati andranno persi.,Voulez-vous écraser la sauvegarde sélectionnée ? Toute la progression sera perdue,Ausgewählte Speicherplatzdaten überschreiben? Der gesamte Fortschritt geht verloren.,¿Quieres sobrescribir los datos de esta ranura? Perderás todo tu progreso.,Вы хотите перезаписать выбранные данные? Весь прогресс будет потерян.,是否要覆盖选定栏位数据？所有进度将丢失,Felülírod a kiválasztott adatokat? Minden előrehaladás elveszik.,Deseja substituir os dados do jogo selecionado? Todo o progresso será perdido.,あなたが選択したスロットのデータを上書きしますか？すべての進行は失われます
#OPT_ON,Menu,,ON,SÌ,OUI,AN,SÍ,ВКЛ,开,BE,SIM,に
#OPT_OFF,Menu,,OFF,NO,NON,AUS,NO,ОТКЛ,关,KI,NÃO,オフ
#MENU_TITLE_GAMMA,Menu,,ADJUST BRIGHTNESS,REGOLA LUMINOSITÀ,RÉGLER LA LUMINOSITÉ,HELLIGKEIT ANPASSEN,AJUSTAR BRILLO,НАСТРОЙКА ЯРКОСТИ,调节亮度,FÉNYERŐ BEÁLLÍTÁSA,AJUSTE DE BRILHO,輝度を調節し
#MENU_OPT_GAMMA,Menu,,BRIGHTNESS,LUMINOSITÀ,LUMINOSITÉ,HELLIGKEIT,BRILLO,ЯРКОСТЬ,亮度,FÉNYERŐ,BRILHO,輝度
#OPT_BRIGHTNESS,Menu,,Brightness,Luminosità,Luminosité,Helligkeit,Brillo,Яркость,亮度,Fényerő,Brilho,輝度
#OPT_CONTRAST,Menu,,Contrast,Contrasto,Contraste,Kontrast,Contraste,Контраст,对比度,Kontraszt,Contraste,コントラスト
#MENU_OPTION_LANGUAGE,Menu,,LANGUAGE,LINGUA,LANGUE,SPRACHE,IDIOMA,ЯЗЫК,语言,NYELV,IDIOMA,言語
#MENU_TITLE_LANGUAGE,Menu,,SELECT LANGUAGE,SELEZIONA LA LINGUA,CHOISIR LA LANGUE,SPRACHE AUSWÄHLEN,ELIGE IDIOMA,ВЫБРАТЬ ЯЗЫК,选择语言,NYELV KIVÁLASZTÁSA,ESCOLHA DE IDIOMA,言語を選択する
#LANG_EN,Menu,,ENGLISH,INGLESE,ANGLAIS,ENGLISCH,INGLÉS,АНГЛИЙСКИЙ,英语,ANGOL,INGLÊS,英語
#LANG_IT,Menu,,ITALIAN,ITALIANO,ITALIEN,ITALIENISCH,ITALIANO,ИТАЛЬЯНСКИЙ,意大利语,OLASZ,ITALIANO,イタリアの
#LANG_DE,Menu,,GERMAN,TEDESCO,ALLEMAND,DEUTSCH,ALEMÁN,НЕМЕЦКИЙ,德语,NÉMET,ALEMÃO,ドイツ人
#LANG_FR,Menu,,FRENCH,FRANCESE,FRANÇAIS,FRANZÖSISCH,FRANCÉS,ФРАНЦУЗСКИЙ,法语,FRANCIA,FRANCÊS,フランス語
#LANG_ES,Menu,,SPANISH,SPAGNOLO,ESPAGNOL,SPANISCH,ESPAÑOL,ИСПАНСКИЙ,西班牙语,SPANYOL,ESPANHOL,SPANISH
#LANG_RU,Menu,,RUSSIAN,RUSSO,RUSSE,RUSSISCH,RUSO,РУССКИЙ,俄语,OROSZ,RUSSO,ロシア
#LANG_PT,Menu,,PORTUGUESE,PORTOGHESE,PORTUGAIS,PORTUGIESISCH,PORTUGUÉS,ПОРТУГАЛЬСКИЙ,葡萄牙语,PORTUGÁL,PORTUGUÊS,PORTUGUESE
#LANG_ZH,Menu,,CHINESE,CINESE,CHINOIS,CHINESISCH,CHINA,КИТАЙСКИЙ,中文,KÍNAI,CHINÊS,CHINESE
#LANG_HU,Menu,,HUNGARIAN,UNGHERESE,HONGROIS,UNGARISCH,HÚNGARO,ВЕНГЕРСКИЙ,匈牙利,MAGYAR,HÚNGARO,ハンガリー
#LBL_PLAYINGTIME,Menu,,Playing time:,Tempo di gioco:,Temps de jeu :,Spielzeit:,Tiempo de juego:,Время в игре:,游玩时间：,Játékidő:,Tempo de jogo:,再生時間：
#HELP_NEWGAME,Menu,,Select the slot to create a new game,Seleziona uno slot nel quale creare una nuova partita,Choisissez un emplacement pour créer une nouvelle partie,Speicherplatz für ein neues Spiel auswählen,Elige ranura para crear una nueva partida.,Выберите ячейку для начала новой игры,选择栏位创建新游戏,Válassz foglalatot az új játék létrehozásához!,Escolha o arquivo para criar um novo jogo,新しいゲームを作成するためにスロットを選択
#SKIP_VIDEO,Menu,,Skip Intro,Salta introduzione,Passer l'intro,Intro überspringen,Saltar intro,Пропустить введение,跳过开场动画,Bevezető átugrása,Pular intro,イントロをスキップ
#BTN_RESUME,HUD,,RESUME,RIPRENDI,REPRENDRE,FORTFAHREN,CONTINUAR,ПРОДОЛЖИТЬ,回到游戏,FOLYTATÁS,CONTINUAR,履歴書
#LBL_CYCLE,HUD,,Cycle,Ciclo,Cycle,Zyklus,Ciclo,Цикл,回合,Görgetés,Ciclo,サイクル
#BTN_SAVE,Menu,,SAVE,SALVA,SAUVEGARDER,SPEICHERN,GUARDAR,СОХРАНИТЬ,保存,MENTÉS,,
#BTN_APPLY,Menu,,APPLY,APPLICA,APPLIQUER,ANWENDEN,APLICAR,ПРИМЕНИТЬ,应用,ALKALMAZ,,
#BTN_REVERT,Menu,,REVERT,RIPRISTINA,REVENIR,ZURÜCKSETZEN,REVERTIR,ОТМЕНИТЬ,撤销,ALAPÉRTELMEZÉS,,
#MENU_OPTION_resolution,Menu,,RESOLUTION,RISOLUZIONE,RÉSOLUTION,AUFLÖSUNG,RESOLUCIÓN,РАЗРЕШЕНИЕ,分辨率,FELBONTÁS,,
#MENU_OPTION_fullscreen,Menu,,FULLSCREEN,SCHERMO INTERO,PLEIN ÉCRAN,VOLLBILD,PANTALLA COMPLETA,ПОЛНЫЙ ЭКРАН,全屏,TELJES KÉPERNYŐ,,
#MENU_OPTION_VALUE_yes,Menu,,YES,SI',OUI,JA,SÍ,ДА,是,IGEN,,
#MENU_OPTION_VALUE_no,Menu,,NO,NO,NON,NEIN,NO,НЕТ,否,NEM,,
#MENU_OPTION_profile,Menu,,PROFILE,PROFILO,PROFIL,PROFIL,PERFIL,ПРОФИЛЬ,档案,PROFIL,,
#MENU_OPTION_VALUE_Low,Menu,,LOW,BASSO,BAS,NIEDRIG,BAJA,НИЗК.,低,ALACSONY,,
#MENU_OPTION_VALUE_Medium,Menu,,MEDIUM,MEDIO,MOYEN,MITTEL,MEDIA,СРЕД.,中,KÖZEPES,,
#MENU_OPTION_VALUE_High,Menu,,HIGH,ALTO,ÉLEVÉ,HOCH,ALTA,ВЫС.,高,MAGAS,,
#MENU_OPTION_VALUE_VeryHigh,Menu,,VERY HIGH,SUPER,TRÈS ÉLEVÉ,SEHR HOCH,MUY ALTA,МАКС.,非常高,NAGYON MAGAS,,
#MENU_OPTION_VALUE_Ultra,Menu,,ULTRA,ULTRA,ULTRA,ULTRA,ULTRA,УЛЬТРА,极高,ULTRA,,
#MENU_OPTION_VALUE_Custom,Menu,,CUSTOM,PERSONALIZZATO,PERSONNALISER,ANGEPASST,PERSONALIZADA,ДРУГОЕ,自定义,EGYEDI,,
#MENU_OPTION_global,Menu,,GLOBAL QUALITY,QUALITA' GLOBALE,QUALITÉ GLOBALE,GLOBALE QUALITÄT,CALIDAD GLOBAL,ОБЩЕЕ КАЧЕСТВО,总体质量,GLOBÁLIS MINŐSÉG,,
#MENU_OPTION_volumetricLight,Menu,,VOLUMETRIC LIGHT,LUCI VOLUMETRICHE,LUMIÈRE VOLUMÉTRIQUE,VOLUMETRISCHES LICHT,LUZ VOLUMÉTRICA,ОБЪЕМНЫЙ СВЕТ,体积光,VOLUMETRIKUS FÉNY,,
#MENU_OPTION_VALUE_on,Menu,,ON,ACCESO,ACTIVÉ,AN,SÍ,ВКЛ.,开启,BE,,
#MENU_OPTION_VALUE_off,Menu,,OFF,SPENTO,DÉSACTIVÉ,AUS,NO,ОТКЛ.,关闭,KI,,
#MENU_OPTION_motionBlur,Menu,,MOTION BLUR,SFOCATURA DI MOVIMENTO,MOTION BLUR,BEWEGUNGSUNSCHÄRFE,MOTION BLUR,ЭФФЕКТ СКОРОСТИ,动态模糊,ELMOSÓDÁS,,
#MENU_OPTION_dof,Menu,,DEPTH OF FIELD,PROFONDITA' DI CAMPO,PROFONDEUR DE CHAMP,SCHÄRFENTIEFE,PROFUNDIDAD DE CAMPO,ГЛУБИНА РЕЗКОСТИ,景深,MÉLYSÉGÉLESSÉG,,
#MENU_OPTION_posteffect,Menu,,POST EFFECT,EFFETTI VISIVI,EFFET FINAL,POST-EFFEKT,POSPROCESADO,ПОСТОБРАБОТКА,后期效果,UTÓHATÁSOK,,
#MENU_OPTION_VALUE_high,Menu,,HIGH,ALTO,ÉLEVÉ,HOCH,ALTA,ВЫС.,高,MAGAS,,
#MENU_OPTION_VALUE_medium,Menu,,MEDIUM,MEDIO,MOYEN,MITTEL,MEDIA,СРЕД.,中,KÖZEPES,,
#MENU_OPTION_VALUE_low,Menu,,LOW,BASSO,BAS,NIEDRIG,BAJA,НИЗК.,低,ALACSONY,,
#MENU_OPTION_antialiasing,Menu,,ANTIALIASING,ANTI ALIASING,ANTICRÉNELAGE,ANTIALIASING,ANTIALIASING,СГЛАЖИВАНИЕ,抗锯齿,ÉLSIMÍTÁS,,
#MENU_OPTION_shadow,Menu,,SHADOW,OMBRE,OMBRE,SCHATTEN,SOMBRA,ТЕНИ,阴影,ÁRNYÉK,,
#MENU_OPTION_occlusion,Menu,,AMBIENT OCCLUSION,OCCLUSIONE AMBIENTALE,OCCLUSION,VERDECKUNG,OCLUSIÓN,ЗАТЕНЕНИЕ,遮挡,ELZÁRÓDÁS,,
#MENU_OPTION_bloom,Menu,,BLOOM,EFFETTI DI LUCE,BLOOM,ÜBERSTRAHLUNG,BLOOM,ЗАСВЕТКА,泛光,BLOOM,,
#MENU_OPTION_screenreflection,Menu,,SCREEN REFLECTION,RIFLESSIONI,REFLET SUR ÉCRAN,SCREEN-REFLECTION,REFLEJOS DE LA PANTALLA,ОТРАЖЕНИЯ,屏幕反射,TÜKRÖZŐDÉS,,
#MENU_OPTION_texturequality,Menu,,TEXTURE QUALITY,QUALITA' DELLE TEXTURE,QUALITÉ DE TEXTURE,TEXTURQUALITÄT,CALIDAD DE LAS TEXTURAS,КАЧЕСТВО ТЕКСТУР,材质质量,TEXTÚRAMINŐSÉG,,
#MENU_OPTION_vsync,Menu,,VERTICAL SYNC,SINCRONIA VERTICALE,SYNCHRONISATION VERTICALE,V-SYNC,SINCRONIZACIÓN VERTICAL,ВЕРТ. СИНХР.,垂直同步,FÜGG. SZINKR.,,
#MENU_OPTION_VERIFY,Menu,,Confirm video changes?,Confermi i cambiamenti video?,Confirmer les modifications vidéos ?,Grafikänderungen bestätigen?,¿Confirmar los cambios de vídeo?,Подтвердить изменения графики?,确认视频变更？,Megerősíted a változtatásokat?,,
#MENU_OPTION_mute,Menu,,MUTE,MUTO,SOURDINE,STUMM,SILENCIAR,БЕЗ ЗВУКА,静音,NÉMÍTÁS,,
#MENU_OPTION_mastervolume,Menu,,MASTER VOLUME,VOLUME PRINCIPALE,VOLUME PRINCIPAL,GESAMTLAUTSTÄRKE,VOLUMEN MAESTRO,ОБЩАЯ ГРОМКОСТЬ,主音量,FŐ HANGERŐ,,
#MENU_OPTION_musicvolume,Menu,,MUSIC,MUSICA,MUSIQUE,MUSIK,MÚSICA,МУЗЫКА,音乐,ZENE,,
#MENU_OPTION_sxvolume,Menu,,SFX,EFFETTI,EFFETS SONORES,EFFEKTE,EFECTOS,ЭФФЕКТЫ,音效,EFFEKTEK,,
#MENU_OPTION_invertlook,Menu,,INVERT Y AXIS,INVERTI L'ASSE Y,INVERSER L'AXE Y,Y-ACHSE UMKEHREN,INVERTIR EL EJE Y,ИНВЕРСИЯ Y,反转Y轴,Y-TENGELY MEGFORDÍTÁSA,,
#MENU_OPTION_disableVibration,Menu,,DISABLE PAD VIBRATION,DISABILITA LA VIBRAZIONE DEL PAD,DÉSACTIVER LA VIBRATION DU PAD,PAD-VIBRATION DEAKTIVIEREN,DESACTIVAR VIBRACIÓN,БЕЗ ВИБРАЦИИ,禁用手柄振动,REZGÉS KIKAPCSOLÁSA,,
#MENU_OPTION_gameDifficulty,Menu,,DIFFICULTY,DIFFICOLTA',DIFFICULTÉ,SCHWIERIGKEIT,DIFICULTAD,СЛОЖНОСТЬ,难度,NEHÉZSÉG,,
#MENU_OPTION_VALUE_easy,Menu,,EASY,FACILE,FACILE,EINFACH,FÁCIL,НИЗКАЯ,简单,KÖNNYŰ,,
#MENU_OPTION_VALUE_normal,Menu,,NORMAL,NORMALE,NORMALE,NORMAL,NORMAL,СРЕДНЯЯ,普通,NORMÁL,,
#MENU_OPTION_VALUE_hard,Menu,,HARD,DIFFICILE,DIFFICILE,SCHWER,DIFÍCIL,ВЫСОКАЯ,困难,NEHÉZ,,
#MENU_OPTION_FAST_COMBAT,Menu,,FAST COMBAT,COMBATTIMENTO VELOCE,COMBAT RAPIDE,SCHNELLER KAMPF,COMBATE RÁPIDO,БЫСТРЫЙ БОЙ,快速战斗,GYORS HARC,,
#MENU_OPTION_HEADBOBBING,Menu,,HEADBOBBING,MOVIMENTO DELLA CAMERA IN VERTICALE,BALANCEMENT DE LA TÊTE,KOPFBEWEGUNG BEIM LAUFEN,REBOTES DE CÁMARA,РАСКАЧКА,摆头,FEJBILLEGÉS,,
#MENU_OPTION_gameMode,Menu,,GAME MODE,MODALITA' DI GIOCO,MODE DE JEU,SPIELMODUS,MODO DE JUEGO,ИГРОВОЙ РЕЖИМ,游戏模式,JÁTÉKMÓD,,
#MENU_OPTION_VALUE_endless,,,ENDLESS MODE,MODALITA' INFINITA,MODE SANS FIN,ENDLOS-MODUS,MODO INFINITO,БЕСКОНЕЧНЫЙ,无尽模式,VÉGTELEN MÓD,,
#MENU_OPTION_VALUE_story,,,STORY MODE,MODALITA' STORIA,MODE HISTOIRE,STORY-MODUS,MODO HISTORIA,СЮЖЕТНЫЙ,故事模式,TÖRTÉNETMÓD,,
#MENU_OPTION_mouseLookSensibility,,,LOOK SENSITIVITY (MOUSE),SENSIBILITA' GUARDA (MOUSE),SENSIBILITÉ DE LA VUE (SOURIS),KAMERAGESCHWINDIGKEIT (MAUS),SENSIBILIDAD DE MIRAR (RATÓN),ЧУВСТВИТЕЛЬНОСТЬ ОБЗОРА (МЫШЬ),观察灵敏度（鼠标）,ÉRZÉKENYSÉG (EGÉR),,
#MENU_OPTION_padLookSensibility,,,LOOK SENSITIVITY (CONTROLLER),SENSIBILITA' GUARDA (GAMEPAD),SENSIBILITÉ DE LA VUE (MANETTE),KAMERAGESCHWINDIGKEIT (CONTROLLER),SENSIBILIDAD DE MIRAR (MANDO),ЧУВСТВИТЕЛЬНОСТЬ ОБЗОРА (ГЕЙМПАД),观察灵敏度（手柄）,ÉRZÉKENYSÉG (KONTROLLER),,
#LOADING,,,LOADING,CARICAMENTO,CHARGEMENT,WIRD GELADEN,CARGANDO,ЗАГРУЗКА,载入中,BETÖLTÉS,,
#MENU_OPTION_GLITCH,,,GLITCH EFFECT,EFFETTO GLITCH,PÉPIN EFFET,GLITCHFILTER,EFECTO FALLA,ЭФФЕКТ ГЛЮКА,毛刺效应,HIBA HATÁS,,
